Nov 25 10:39:00 real dnsmasq[18503]: server 208.67.222.222#53: queries sent 2162, retried or failed 15
Nov 25 10:39:00 real dnsmasq[18503]: server 208.67.220.220#53: queries sent 667, retried or failed 0
Nov 25 10:39:00 real dnsmasq[18503]: server 10.129.36.245#53: queries sent 1177, retried or failed 4
Nov 25 10:39:00 real dnsmasq[18503]: server 8.8.8.8#53: queries sent 490, retried or failed 0
Nov 25 10:39:00 real dnsmasq[18503]: server 8.8.4.4#53: queries sent 485, retried or failed 0
Nov 25 10:41:54 real dnsmasq[18503]: server 208.67.222.222#53: queries sent 2180, retried or failed 15
Nov 25 10:41:54 real dnsmasq[18503]: server 208.67.220.220#53: queries sent 672, retried or failed 0
Nov 25 10:41:54 real dnsmasq[18503]: server 10.129.36.245#53: queries sent 1183, retried or failed 4
Nov 25 10:41:54 real dnsmasq[18503]: server 8.8.8.8#53: queries sent 495, retried or failed 0
Nov 25 10:41:54 real dnsmasq[18503]: server 8.8.4.4#53: queries sent 490, retried or failed 0
Nov 25 10:43:07 real dnsmasq[19362]: server 208.67.222.222#53: queries sent 2, retried or failed 0
Nov 25 10:43:07 real dnsmasq[19362]: server 208.67.220.220#53: queries sent 2, retried or failed 0
Nov 25 10:43:07 real dnsmasq[19362]: server 10.129.36.245#53: queries sent 8, retried or failed 0
Nov 25 10:43:07 real dnsmasq[19362]: server 8.8.8.8#53: queries sent 2, retried or failed 0
Nov 25 10:43:07 real dnsmasq[19362]: server 8.8.4.4#53: queries sent 2, retried or failed 0
Nov 25 10:43:54 real dnsmasq[19362]: server 208.67.222.222#53: queries sent 79, retried or failed 0
Nov 25 10:43:54 real dnsmasq[19362]: server 208.67.220.220#53: queries sent 5, retried or failed 0
Nov 25 10:43:54 real dnsmasq[19362]: server 10.129.36.245#53: queries sent 11, retried or failed 0
Nov 25 10:43:54 real dnsmasq[19362]: server 8.8.8.8#53: queries sent 5, retried or failed 0
Nov 25 10:43:54 real dnsmasq[19362]: server 8.8.4.4#53: queries sent 5, retried or failed 0
Nov 25 10:45:51 real dnsmasq[19362]: server 208.67.222.222#53: queries sent 88, retried or failed 1
Nov 25 10:45:51 real dnsmasq[19362]: server 208.67.220.220#53: queries sent 9, retried or failed 0
Nov 25 10:45:51 real dnsmasq[19362]: server 10.129.36.245#53: queries sent 18, retried or failed 0
Nov 25 10:45:51 real dnsmasq[19362]: server 8.8.8.8#53: queries sent 9, retried or failed 0
Nov 25 10:45:51 real dnsmasq[19362]: server 8.8.4.4#53: queries sent 9, retried or failed 0
Nov 25 10:48:25 real dnsmasq[19417]: server 10.129.36.245#53: queries sent 17, retried or failed 0
Nov 25 10:48:25 real dnsmasq[19417]: server 208.67.222.222#53: queries sent 12, retried or failed 0
Nov 25 10:48:25 real dnsmasq[19417]: server 208.67.220.220#53: queries sent 12, retried or failed 0
Nov 25 10:48:25 real dnsmasq[19417]: server 8.8.8.8#53: queries sent 12, retried or failed 0
Nov 25 10:48:25 real dnsmasq[19417]: server 8.8.4.4#53: queries sent 115, retried or failed 4
Nov 25 10:50:37 real dnsmasq[19417]: server 10.129.36.245#53: queries sent 26, retried or failed 0
Nov 25 10:50:37 real dnsmasq[19417]: server 208.67.222.222#53: queries sent 14, retried or failed 0
Nov 25 10:50:37 real dnsmasq[19417]: server 208.67.220.220#53: queries sent 14, retried or failed 0
Nov 25 10:50:37 real dnsmasq[19417]: server 8.8.8.8#53: queries sent 14, retried or failed 0
Nov 25 10:50:37 real dnsmasq[19417]: server 8.8.4.4#53: queries sent 117, retried or failed 4
Nov 25 10:50:47 real dnsmasq[19417]: server 10.129.36.245#53: queries sent 28, retried or failed 0
Nov 25 10:50:47 real dnsmasq[19417]: server 208.67.222.222#53: queries sent 15, retried or failed 0
Nov 25 10:50:47 real dnsmasq[19417]: server 208.67.220.220#53: queries sent 15, retried or failed 0
Nov 25 10:50:47 real dnsmasq[19417]: server 8.8.8.8#53: queries sent 15, retried or failed 0
Nov 25 10:50:47 real dnsmasq[19417]: server 8.8.4.4#53: queries sent 118, retried or failed 4
Nov 25 10:50:57 real dnsmasq[19417]: server 10.129.36.245#53: queries sent 31, retried or failed 0
Nov 25 10:50:57 real dnsmasq[19417]: server 208.67.222.222#53: queries sent 15, retried or failed 0
Nov 25 10:50:57 real dnsmasq[19417]: server 208.67.220.220#53: queries sent 15, retried or failed 0
Nov 25 10:50:57 real dnsmasq[19417]: server 8.8.8.8#53: queries sent 15, retried or failed 0
Nov 25 10:50:57 real dnsmasq[19417]: server 8.8.4.4#53: queries sent 118, retried or failed 4
Nov 25 10:51:07 real dnsmasq[19417]: server 10.129.36.245#53: queries sent 31, retried or failed 0
Nov 25 10:51:07 real dnsmasq[19417]: server 208.67.222.222#53: queries sent 15, retried or failed 0
Nov 25 10:51:07 real dnsmasq[19417]: server 208.67.220.220#53: queries sent 15, retried or failed 0
Nov 25 10:51:07 real dnsmasq[19417]: server 8.8.8.8#53: queries sent 15, retried or failed 0
Nov 25 10:51:07 real dnsmasq[19417]: server 8.8.4.4#53: queries sent 118, retried or failed 4
Nov 25 10:51:17 real dnsmasq[19417]: server 10.129.36.245#53: queries sent 31, retried or failed 0
Nov 25 10:51:17 real dnsmasq[19417]: server 208.67.222.222#53: queries sent 15, retried or failed 0
Nov 25 10:51:17 real dnsmasq[19417]: server 208.67.220.220#53: queries sent 15, retried or failed 0
Nov 25 10:51:17 real dnsmasq[19417]: server 8.8.8.8#53: queries sent 15, retried or failed 0
Nov 25 10:51:17 real dnsmasq[19417]: server 8.8.4.4#53: queries sent 118, retried or failed 4
Nov 25 10:51:27 real dnsmasq[19417]: server 10.129.36.245#53: queries sent 31, retried or failed 0
Nov 25 10:51:27 real dnsmasq[19417]: server 208.67.222.222#53: queries sent 15, retried or failed 0
Nov 25 10:51:27 real dnsmasq[19417]: server 208.67.220.220#53: queries sent 15, retried or failed 0
Nov 25 10:51:27 real dnsmasq[19417]: server 8.8.8.8#53: queries sent 15, retried or failed 0
Nov 25 10:51:27 real dnsmasq[19417]: server 8.8.4.4#53: queries sent 118, retried or failed 4
Nov 25 10:51:37 real dnsmasq[19417]: server 10.129.36.245#53: queries sent 37, retried or failed 0
Nov 25 10:51:37 real dnsmasq[19417]: server 208.67.222.222#53: queries sent 16, retried or failed 0
Nov 25 10:51:37 real dnsmasq[19417]: server 208.67.220.220#53: queries sent 16, retried or failed 0
Nov 25 10:51:37 real dnsmasq[19417]: server 8.8.8.8#53: queries sent 16, retried or failed 0
Nov 25 10:51:37 real dnsmasq[19417]: server 8.8.4.4#53: queries sent 119, retried or failed 4
Nov 25 10:51:47 real dnsmasq[19417]: server 10.129.36.245#53: queries sent 37, retried or failed 0
